CodeInsee,Name,Longitude,Latitude,Id
4242,VILLENEUVE,43.89570569,5.857321287,493
4111,MANE,43.93889738,5.742342135,494
6097,PIERREFEU,43.88519128,7.071008137,495
4189,SAINT-MARTIN-DE-BROMES,43.77747687,5.962501751,496
84059,LAFARE,44.15461996,5.049728143,497
6006,ASPREMONT,43.77507317,7.244757712,498
83129,SIX-FOURS-LES-PLAGES,43.0868186,5.829244649,499
84073,MENERBES,43.82437103,5.220871709,500
13058,MAUSSANE-LES-ALPILLES,43.71450042,4.833334596,501
5013,BARCILLONNETTE,44.43006466,5.90582685,502
84015,BEAUMONT-DU-VENTOUX,44.18263937,5.213856705,503
5129,SAINT-ANDRE-DE-ROSANS,44.36473938,5.520973718,504
5092,NEFFES,44.49584176,6.025507376,505
